Date,Strawberry
9/3/2013,1.5
9/4/2013,1.36
9/5/2013,1.36
9/6/2013,1.36
9/7/2013,1.357064292
9/8/2013,1.358236954
9/9/2013,1.36
9/10/2013,1.36
9/11/2013,1.36
9/12/2013,1.36
9/13/2013,1.33
9/14/2013,1.337564365
9/15/2013,1.342771605
9/16/2013,1.31
9/17/2013,1.31
9/18/2013,1.25
9/19/2013,1.14
9/20/2013,1.14
9/21/2013,1.132759914
9/22/2013,1.140612707
9/23/2013,1.14
9/24/2013,1.14
9/25/2013,1.25
9/26/2013,1.25
9/27/2013,1.25
9/28/2013,1.278162376
9/29/2013,1.300084517
9/30/2013,1.25
10/1/2013,1.241466538
10/2/2013,1.237116531
10/3/2013,1.225457416
10/4/2013,1.219288514
10/5/2013,1.237182603
10/6/2013,1.251892999
10/7/2013,1.253395305
10/8/2013,1.248013095
10/9/2013,1.247988776
10/10/2013,1.23690419
10/11/2013,1.233504221
10/12/2013,1.258244292
10/13/2013,1.266000614
10/14/2013,1.279844121
10/15/2013,1.271593914
10/16/2013,1.26795809
10/17/2013,1.06
10/18/2013,1.06
10/19/2013,1.048170373
10/20/2013,1.066243098
10/21/2013,1.22
10/22/2013,1.22
10/23/2013,1.22
10/24/2013,1.22
10/25/2013,1.22
10/26/2013,1.249253885
10/27/2013,1.264993981
10/28/2013,1.22
10/29/2013,1.11
10/30/2013,1.11
10/31/2013,1.11
11/1/2013,1.25
11/2/2013,1.276739643
11/3/2013,1.28527622
11/4/2013,1.33
11/5/2013,1.33
11/6/2013,1.56
11/7/2013,1.56
11/8/2013,1.56
11/9/2013,1.601582334
11/10/2013,1.619206414
11/11/2013,1.644489274
11/12/2013,1.56
11/13/2013,1.56
11/14/2013,1.56
11/15/2013,1.56
11/16/2013,1.568915979
11/17/2013,1.580303833
11/18/2013,1.64
11/19/2013,1.64
11/20/2013,1.67
11/21/2013,1.78
11/22/2013,1.78
11/23/2013,1.825245485
11/24/2013,1.822932706
11/25/2013,1.78
11/26/2013,1.78
11/27/2013,1.56
11/28/2013,1.524634585
11/29/2013,1.56
11/30/2013,1.544216499
12/1/2013,1.539639846
12/2/2013,1.67
12/3/2013,1.67
12/4/2013,1.676318512
12/5/2013,1.78
12/6/2013,1.78
12/7/2013,1.795869217
12/8/2013,1.828096852
12/9/2013,1.845595226
12/10/2013,1.843697116
12/11/2013,1.826401517
12/12/2013,1.810888157
12/13/2013,1.792185292
12/14/2013,1.78879498
12/15/2013,1.791143165
12/16/2013,1.791672812
12/17/2013,1.79240416
12/18/2013,1.776721821
12/19/2013,1.755586014
12/20/2013,1.732999489
12/21/2013,1.728013978
